"trial","deckA","deckB","deckC","deckD","wins","losses","subjID","deck","net"
147,0,1,0,0,100,0,"01",2,100
148,0,1,0,0,100,0,"01",2,100
149,0,1,0,0,100,0,"01",2,100
150,0,1,0,0,100,0,"01",2,100
1,0,0,0,1,50,0,"02",4,50
2,0,0,1,0,50,-50,"02",3,0
3,0,0,0,1,50,0,"02",4,50
4,0,0,0,1,50,0,"02",4,50
5,0,0,0,1,50,0,"02",4,50
6,0,0,0,1,50,0,"02",4,50
7,0,1,0,0,100,0,"02",2,100
8,1,0,0,0,100,-350,"02",1,-250
9,0,1,0,0,100,0,"02",2,100
10,0,1,0,0,100,0,"02",2,100
11,0,1,0,0,100,0,"02",2,100
12,0,1,0,0,100,0,"02",2,100
13,0,1,0,0,100,0,"02",2,100
14,0,1,0,0,100,0,"02",2,100
15,0,1,0,0,100,-1250,"02",2,-1150
16,0,1,0,0,100,0,"02",2,100
17,0,1,0,0,100,0,"02",2,100
18,0,1,0,0,100,-1250,"02",2,-1150
19,0,1,0,0,100,0,"02",2,100
20,0,1,0,0,100,0,"02",2,100
21,0,1,0,0,100,0,"02",2,100
22,0,1,0,0,100,0,"02",2,100
23,0,1,0,0,100,0,"02",2,100
24,0,1,0,0,100,0,"02",2,100
25,0,1,0,0,100,0,"02",2,100
26,0,1,0,0,100,0,"02",2,100
27,0,1,0,0,100,0,"02",2,100
28,0,1,0,0,100,-1250,"02",2,-1150
29,0,0,0,1,50,0,"02",4,50
30,0,0,0,1,50,0,"02",4,50
31,0,1,0,0,100,0,"02",2,100
32,0,1,0,0,100,0,"02",2,100
33,0,1,0,0,100,0,"02",2,100
34,0,0,0,1,50,0,"02",4,50
35,0,1,0,0,100,0,"02",2,100
36,0,1,0,0,100,0,"02",2,100
37,0,1,0,0,100,0,"02",2,100
38,0,1,0,0,100,0,"02",2,100
39,0,1,0,0,100,0,"02",2,100
40,0,1,0,0,100,0,"02",2,100
41,0,1,0,0,100,0,"02",2,100
42,0,1,0,0,100,0,"02",2,100
43,0,1,0,0,100,-1250,"02",2,-1150
44,0,0,0,1,50,-250,"02",4,-200
45,0,1,0,0,100,0,"02",2,100
46,0,1,0,0,100,0,"02",2,100
47,0,1,0,0,100,0,"02",2,100
48,0,1,0,0,100,0,"02",2,100
49,0,1,0,0,100,0,"02",2,100
50,0,1,0,0,100,0,"02",2,100
51,0,1,0,0,100,0,"02",2,100
52,0,1,0,0,100,0,"02",2,100
53,0,1,0,0,100,0,"02",2,100
54,0,1,0,0,100,0,"02",2,100
55,0,1,0,0,100,0,"02",2,100
56,0,1,0,0,100,-1250,"02",2,-1150
57,0,1,0,0,100,0,"02",2,100
58,0,1,0,0,100,0,"02",2,100
59,0,1,0,0,100,0,"02",2,100
60,0,1,0,0,100,0,"02",2,100
61,0,1,0,0,100,0,"02",2,100
62,0,1,0,0,100,0,"02",2,100
63,0,1,0,0,100,0,"02",2,100
64,0,1,0,0,100,0,"02",2,100
65,0,1,0,0,100,0,"02",2,100
66,0,1,0,0,100,0,"02",2,100
67,0,1,0,0,100,-1250,"02",2,-1150
68,0,1,0,0,100,0,"02",2,100
69,0,1,0,0,100,0,"02",2,100
70,0,1,0,0,100,0,"02",2,100
71,0,1,0,0,100,0,"02",2,100
72,0,1,0,0,100,-1250,"02",2,-1150
73,0,1,0,0,100,0,"02",2,100
74,0,1,0,0,100,0,"02",2,100
75,0,1,0,0,100,0,"02",2,100
76,0,1,0,0,100,0,"02",2,100
77,0,1,0,0,100,0,"02",2,100
78,0,1,0,0,100,0,"02",2,100
79,0,1,0,0,100,0,"02",2,100
80,0,1,0,0,100,0,"02",2,100
81,0,1,0,0,100,0,"02",2,100
82,0,1,0,0,100,0,"02",2,100
83,0,1,0,0,100,0,"02",2,100
84,0,1,0,0,100,-1250,"02",2,-1150
85,0,1,0,0,100,0,"02",2,100
86,0,1,0,0,100,0,"02",2,100
87,0,1,0,0,100,0,"02",2,100
88,0,1,0,0,100,0,"02",2,100
89,0,1,0,0,100,0,"02",2,100
90,0,1,0,0,100,0,"02",2,100
91,0,1,0,0,100,0,"02",2,100
92,0,1,0,0,100,0,"02",2,100
93,0,1,0,0,100,0,"02",2,100
94,0,1,0,0,100,-1250,"02",2,-1150
95,0,1,0,0,100,0,"02",2,100
96,0,1,0,0,100,0,"02",2,100
97,0,1,0,0,100,0,"02",2,100
98,0,1,0,0,100,0,"02",2,100
99,0,1,0,0,100,0,"02",2,100
100,0,1,0,0,100,0,"02",2,100
101,0,1,0,0,100,0,"02",2,100
102,0,1,0,0,100,0,"02",2,100
103,0,1,0,0,100,0,"02",2,100
104,0,1,0,0,100,0,"02",2,100
105,0,1,0,0,100,0,"02",2,100
106,0,1,0,0,100,-1250,"02",2,-1150
107,0,1,0,0,100,0,"02",2,100
108,0,1,0,0,100,0,"02",2,100
109,0,1,0,0,100,0,"02",2,100
110,0,1,0,0,100,0,"02",2,100
111,0,1,0,0,100,0,"02",2,100
112,0,1,0,0,100,0,"02",2,100
113,0,1,0,0,100,0,"02",2,100
114,0,1,0,0,100,0,"02",2,100
115,0,1,0,0,100,0,"02",2,100
116,0,1,0,0,100,0,"02",2,100
117,0,1,0,0,100,0,"02",2,100
118,0,1,0,0,100,-1250,"02",2,-1150
119,0,1,0,0,100,0,"02",2,100
120,0,1,0,0,100,0,"02",2,100
121,0,1,0,0,100,0,"02",2,100
122,0,1,0,0,100,0,"02",2,100
123,0,1,0,0,100,0,"02",2,100
124,0,1,0,0,100,0,"02",2,100
125,0,1,0,0,100,0,"02",2,100
126,0,1,0,0,100,0,"02",2,100
127,0,1,0,0,100,0,"02",2,100
128,0,1,0,0,100,-1250,"02",2,-1150
129,0,1,0,0,100,0,"02",2,100
130,0,1,0,0,100,0,"02",2,100
131,0,1,0,0,100,0,"02",2,100
132,0,1,0,0,100,0,"02",2,100
133,0,1,0,0,100,0,"02",2,100
134,0,1,0,0,100,0,"02",2,100
135,0,1,0,0,100,0,"02",2,100
136,0,1,0,0,100,0,"02",2,100
137,0,1,0,0,100,0,"02",2,100
138,0,1,0,0,100,0,"02",2,100
139,0,1,0,0,100,-1250,"02",2,-1150
140,0,1,0,0,100,0,"02",2,100
141,0,1,0,0,100,0,"02",2,100
142,0,1,0,0,100,0,"02",2,100
143,0,1,0,0,100,0,"02",2,100
144,0,1,0,0,100,0,"02",2,100
145,0,1,0,0,100,0,"02",2,100
146,0,1,0,0,100,0,"02",2,100
147,0,1,0,0,100,0,"02",2,100
148,0,1,0,0,100,0,"02",2,100
149,0,1,0,0,100,0,"02",2,100
150,0,1,0,0,100,0,"02",2,100
1,0,1,0,0,100,0,"03",2,100
2,0,0,1,0,50,0,"03",3,50
3,0,1,0,0,100,-1250,"03",2,-1150
4,0,0,0,1,50,0,"03",4,50
5,0,1,0,0,100,0,"03",2,100
6,0,0,1,0,50,0,"03",3,50
7,0,0,1,0,50,-50,"03",3,0
8,1,0,0,0,100,0,"03",1,100
9,1,0,0,0,100,-200,"03",1,-100
10,0,0,1,0,50,0,"03",3,50
11,0,1,0,0,100,0,"03",2,100
12,0,1,0,0,100,0,"03",2,100
13,0,1,0,0,100,0,"03",2,100
