trial	deck	gain	loss	subjID	net
54	4	70	-275	115	-205
55	4	60	0	115	60
56	1	120	-200	115	-80
57	3	55	0	115	55
58	3	55	-25	115	30
59	3	65	-75	115	-10
60	3	45	0	115	45
61	3	70	-25	115	45
62	3	40	0	115	40
63	3	50	-25	115	25
64	1	110	0	115	110
65	3	60	-75	115	-15
66	3	70	0	115	70
67	3	40	-50	115	-10
68	1	90	-300	115	-210
69	3	60	0	115	60
70	3	65	-25	115	40
71	3	55	0	115	55
72	3	80	-50	115	30
73	1	130	-150	115	-20
74	4	55	0	115	55
75	3	40	-25	115	15
76	1	120	-250	115	-130
77	2	110	0	115	110
78	1	100	0	115	100
79	2	100	0	115	100
80	3	60	-50	115	10
81	3	55	0	115	55
82	2	90	0	115	90
83	3	65	-25	115	40
84	1	120	-250	115	-130
85	4	65	0	115	65
86	3	40	-75	115	-35
87	4	80	0	115	80
88	4	40	0	115	40
89	4	80	0	115	80
90	4	40	0	115	40
91	1	140	-300	115	-160
92	4	65	0	115	65
93	4	55	-300	115	-245
94	4	60	0	115	60
95	3	80	-50	115	30
96	1	110	0	115	110
97	3	65	-25	115	40
98	4	65	0	115	65
99	4	75	0	115	75
100	3	75	0	115	75
1	3	50	0	116	50
2	2	100	0	116	100
3	1	100	0	116	100
4	4	50	0	116	50
5	4	40	0	116	40
6	3	60	0	116	60
7	2	80	0	116	80
8	1	120	0	116	120
9	1	80	-150	116	-70
10	2	110	0	116	110
11	3	40	-50	116	-10
12	2	120	0	116	120
13	2	90	0	116	90
14	2	100	0	116	100
15	2	90	0	116	90
16	2	120	0	116	120
17	2	110	-1250	116	-1140
18	4	45	0	116	45
19	4	45	0	116	45
20	4	55	0	116	55
21	4	60	0	116	60
22	4	40	0	116	40
23	4	55	0	116	55
24	4	50	0	116	50
25	4	60	-250	116	-190
26	2	80	0	116	80
27	2	110	0	116	110
28	1	90	0	116	90
29	4	55	0	116	55
30	1	110	-300	116	-190
31	2	100	0	116	100
32	2	90	0	116	90
33	2	130	-1500	116	-1370
34	3	55	0	116	55
35	3	55	-50	116	5
36	4	40	0	116	40
37	4	60	0	116	60
38	4	40	0	116	40
39	1	100	0	116	100
40	2	120	0	116	120
41	2	130	0	116	130
42	3	45	0	116	45
43	3	50	-50	116	0
44	3	45	0	116	45
45	2	110	0	116	110
46	2	90	0	116	90
47	4	45	0	116	45
48	1	80	-200	116	-120
49	2	100	0	116	100
50	2	120	0	116	120
51	2	120	-1750	116	-1630
52	2	110	0	116	110
53	3	60	-50	116	10
54	4	55	0	116	55
55	3	40	-50	116	-10
56	4	65	0	116	65
57	4	70	0	116	70
58	3	55	0	116	55
59	3	55	-25	116	30
60	2	140	0	116	140
61	1	120	0	116	120
62	4	50	0	116	50
63	4	70	-275	116	-205
64	3	65	-75	116	-10
