subject,parameter,value
35,a_pun,0.0204845051738435
35,a_rew,0.251345873866291
35,deviance,186.335992148952
35,omega_f,1.7433471876185
35,omega_p,-7.01749678174408
35,theta,1
36,K,0.294078135196653
36,a_pun,0.04135661235745
36,a_rew,0.362963530277826
36,deviance,218.616606625437
36,omega_f,-1.58223824341354
36,omega_p,-5.0678808773955
36,theta,1
37,K,0.790318173592837
37,a_pun,0.0483612651786082
37,a_rew,0.2254482867068
37,deviance,221.976983219459
37,omega_f,4.19473525304224
37,omega_p,-5.34294652680456
37,theta,1
38,K,2.70843165951117
38,a_pun,0.0767134965112132
38,a_rew,0.414443223366431
38,deviance,234.884780649649
38,omega_f,2.45433655487192
38,omega_p,-0.208485806629898
38,theta,1
39,K,3.12530643125314
39,a_pun,0.033612891972275
39,a_rew,0.184080542276258
39,deviance,227.767321066791
39,omega_f,3.34632100295736
39,omega_p,-3.85032441094204
39,theta,1
40,K,1.69267880984817
40,a_pun,0.206580855176387
40,a_rew,0.351596902731014
40,deviance,133.308216954523
40,omega_f,1.21056412219901
40,omega_p,4.36982514299723
40,theta,1
41,K,2.90793069857343
41,a_pun,0.13866597211515
41,a_rew,0.671850078308387
41,deviance,189.540943685114
41,omega_f,2.22412197348766
41,omega_p,-0.251400272854064
41,theta,1
42,K,0.148055807406515
42,a_pun,0.0892062985258112
42,a_rew,0.751595692788921
42,deviance,209.674348368812
42,omega_f,0.171509528431137
42,omega_p,3.34789579487968
42,theta,1
